CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
172,2026-07-01 12:22:58.615,FF,StackHL_b38_lp7_r1_pr3_lay7_m7,Plannerinputs/generated/problemStackHL_b38_lp7_r1_pr3_lay7_m7.pddl,True,302.98,344.25,2,0,
173,2026-07-01 12:22:59.363,FF,PickUpHL_b42_fp56_r1,Plannerinputs/generated/problemPickUpHL_b42_fp56_r1.pddl,True,312.83,361.14,2,0,
174,2026-07-01 12:23:00.131,FF,StackHL_b42_lp7_r1_pr3_lay7_m7,Plannerinputs/generated/problemStackHL_b42_lp7_r1_pr3_lay7_m7.pddl,True,311.20,354.79,2,0,
175,2026-07-01 12:23:00.917,FF,PickUpHL_b40_fp54_r1,Plannerinputs/generated/problemPickUpHL_b40_fp54_r1.pddl,True,312.90,354.90,2,0,
176,2026-07-01 12:23:01.670,FF,StackHL_b40_lp7_r1_pr3_lay7_m7,Plannerinputs/generated/problemStackHL_b40_lp7_r1_pr3_lay7_m7.pddl,True,312.39,361.37,2,0,
177,2026-07-01 12:23:02.445,FF,PickUpHL_b39_fp52_r1,Plannerinputs/generated/problemPickUpHL_b39_fp52_r1.pddl,True,300.36,353.77,2,0,
178,2026-07-01 12:23:03.207,FF,StackHL_b39_lp7_r1_pr3_lay7_m7,Plannerinputs/generated/problemStackHL_b39_lp7_r1_pr3_lay7_m7.pddl,True,298.78,341.78,2,0,
179,2026-07-01 12:23:03.946,FF,PickUpHL_b41_fp55_r1,Plannerinputs/generated/problemPickUpHL_b41_fp55_r1.pddl,True,312.29,349.57,2,0,
180,2026-07-01 12:23:04.704,FF,StackHL_b41_lp7_r1_pr3_lay7_m7,Plannerinputs/generated/problemStackHL_b41_lp7_r1_pr3_lay7_m7.pddl,True,305.34,345.78,2,0,
181,2026-07-01 12:23:05.472,FF,PickUpHL_b43_fp58_r1,Plannerinputs/generated/problemPickUpHL_b43_fp58_r1.pddl,True,294.87,337.97,2,0,
182,2026-07-01 12:23:06.213,FF,StackHL_b43_lp8_r1_pr4_lay8_m8,Plannerinputs/generated/problemStackHL_b43_lp8_r1_pr4_lay8_m8.pddl,True,297.20,358.01,2,0,
183,2026-07-01 12:23:07.002,FF,PickUpHL_b44_fp59_r1,Plannerinputs/generated/problemPickUpHL_b44_fp59_r1.pddl,True,296.41,330.76,2,0,
184,2026-07-01 12:23:07.771,FF,StackHL_b44_lp8_r1_pr4_lay8_m8,Plannerinputs/generated/problemStackHL_b44_lp8_r1_pr4_lay8_m8.pddl,True,303.27,353.14,2,0,
185,2026-07-01 12:23:08.548,FF,PickUpHL_b48_fp64_r1,Plannerinputs/generated/problemPickUpHL_b48_fp64_r1.pddl,True,318.79,352.76,2,0,
186,2026-07-01 12:23:09.351,FF,StackHL_b48_lp8_r1_pr4_lay8_m8,Plannerinputs/generated/problemStackHL_b48_lp8_r1_pr4_lay8_m8.pddl,True,295.91,342.83,2,0,
187,2026-07-01 12:23:10.125,FF,PickUpHL_b46_fp62_r1,Plannerinputs/generated/problemPickUpHL_b46_fp62_r1.pddl,True,292.61,335.45,2,0,
