CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
507,2026-07-06 17:17:15.389,FF,PickUpHL_lp6_fp41_r1,Plannerinputs/generated/problemPickUpHL_lp6_fp41_r1.pddl,True,270.79,351.10,2,0,
508,2026-07-06 17:17:15.767,FF,PickUpHL_lp7_fp49_r1,Plannerinputs/generated/problemPickUpHL_lp7_fp49_r1.pddl,True,270.10,364.68,2,0,
509,2026-07-06 17:17:16.192,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,273.52,355.59,2,0,
510,2026-07-06 17:17:16.732,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,291.89,405.01,8,0,
511,2026-07-06 17:17:17.649,FF,PickUpHL_lp7_fp49_r1,Plannerinputs/generated/problemPickUpHL_lp7_fp49_r1.pddl,True,284.33,367.28,3,0,
512,2026-07-06 17:17:18.032,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,286.04,348.74,3,0,
513,2026-07-06 17:17:18.541,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,308.00,421.71,11,0,
514,2026-07-06 17:17:19.000,FF,PlaceHL_lp6_pr2_r1,Plannerinputs/generated/problemPlaceHL_lp6_pr2_r1.pddl,True,275.15,351.71,2,0,
515,2026-07-06 17:17:19.792,FF,PickUpHL_lp7_fp49_r1,Plannerinputs/generated/problemPickUpHL_lp7_fp49_r1.pddl,True,275.91,360.84,2,0,
516,2026-07-06 17:17:20.180,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,281.87,380.64,2,0,
517,2026-07-06 17:17:20.728,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,288.75,432.53,8,0,
518,2026-07-06 17:17:21.252,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,296.58,382.01,8,0,
519,2026-07-06 17:17:22.143,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,274.30,374.62,3,0,
520,2026-07-06 17:17:22.684,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,313.75,461.38,11,0,
521,2026-07-06 17:17:23.189,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,333.44,436.80,11,0,
522,2026-07-06 17:17:23.651,FF,PlaceHL_lp7_pr3_r1,Plannerinputs/generated/problemPlaceHL_lp7_pr3_r1.pddl,True,287.54,364.41,2,0,
523,2026-07-06 17:17:24.544,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,272.86,340.83,2,0,
524,2026-07-06 17:17:25.027,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,283.75,389.76,8,0,
525,2026-07-06 17:17:25.458,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,284.86,407.46,8,0,
526,2026-07-06 17:17:25.911,FF,GluingPlateHL_lp7_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp7_pr3_r1.pddl,True,290.10,416.98,8,0,
527,2026-07-06 17:17:26.978,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,316.63,506.82,11,0,
528,2026-07-06 17:17:27.532,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,321.61,461.02,11,0,
529,2026-07-06 17:17:28.043,FF,GluingPlateHL_lp7_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp7_pr3_r1.pddl,True,314.93,428.39,11,0,
530,2026-07-06 17:17:28.522,FF,PlaceHL_lp8_pr4_r1,Plannerinputs/generated/problemPlaceHL_lp8_pr4_r1.pddl,True,271.00,346.84,2,0,
531,2026-07-06 17:17:29.499,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,314.73,432.85,8,0,
532,2026-07-06 17:17:29.972,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,285.76,400.83,8,0,
533,2026-07-06 17:17:30.442,FF,GluingPlateHL_lp7_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp7_pr3_r1.pddl,True,288.11,396.20,8,0,
534,2026-07-06 17:17:30.904,FF,GluingPlateHL_lp8_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp8_pr4_r1.pddl,True,300.76,442.48,8,0,
535,2026-07-06 17:17:33.347,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,272.24,356.33,2,0,
536,2026-07-06 17:17:33.742,FF,GluingPlateHL_lp7_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp7_pr3_r1.pddl,True,281.28,357.42,2,0,
537,2026-07-06 17:17:34.158,FF,GluingPlateHL_lp8_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp8_pr4_r1.pddl,True,273.10,380.39,2,0,
538,2026-07-06 17:17:34.705,FF,PickUpHL_b25_fp34_r1,Plannerinputs/generated/problemPickUpHL_b25_fp34_r1.pddl,True,293.54,406.39,9,0,
539,2026-07-06 17:17:35.557,FF,GluingPlateHL_lp7_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp7_pr3_r1.pddl,True,275.59,346.15,2,0,
540,2026-07-06 17:17:35.938,FF,GluingPlateHL_lp8_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp8_pr4_r1.pddl,True,275.28,361.94,2,0,
541,2026-07-06 17:17:36.456,FF,PickUpHL_b25_fp34_r1,Plannerinputs/generated/problemPickUpHL_b25_fp34_r1.pddl,True,294.95,455.92,9,0,
542,2026-07-06 17:17:36.979,FF,PickUpHL_b31_fp42_r1,Plannerinputs/generated/problemPickUpHL_b31_fp42_r1.pddl,True,303.57,430.12,9,0,
543,2026-07-06 17:17:37.842,FF,GluingPlateHL_lp8_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp8_pr4_r1.pddl,True,275.07,348.18,2,0,
544,2026-07-06 17:17:38.327,FF,PickUpHL_b25_fp34_r1,Plannerinputs/generated/problemPickUpHL_b25_fp34_r1.pddl,True,287.87,419.80,9,0,
545,2026-07-06 17:17:38.779,FF,PickUpHL_b31_fp42_r1,Plannerinputs/generated/problemPickUpHL_b31_fp42_r1.pddl,True,337.08,466.10,9,0,
546,2026-07-06 17:17:39.298,FF,PickUpHL_b37_fp50_r1,Plannerinputs/generated/problemPickUpHL_b37_fp50_r1.pddl,True,284.92,439.05,9,0,
547,2026-07-06 17:17:40.394,FF,PickUpHL_b25_fp34_r1,Plannerinputs/generated/problemPickUpHL_b25_fp34_r1.pddl,True,296.37,428.18,9,0,
548,2026-07-06 17:17:40.864,FF,PickUpHL_b31_fp42_r1,Plannerinputs/generated/problemPickUpHL_b31_fp42_r1.pddl,True,299.85,421.23,9,0,
549,2026-07-06 17:17:41.331,FF,PickUpHL_b37_fp50_r1,Plannerinputs/generated/problemPickUpHL_b37_fp50_r1.pddl,True,286.42,445.70,9,0,
550,2026-07-06 17:17:41.870,FF,PickUpHL_b43_fp58_r1,Plannerinputs/generated/problemPickUpHL_b43_fp58_r1.pddl,True,285.40,385.47,9,0,
551,2026-07-06 17:17:44.662,FF,PickUpHL_b31_fp42_r1,Plannerinputs/generated/problemPickUpHL_b31_fp42_r1.pddl,True,280.47,381.10,3,0,
552,2026-07-06 17:17:45.127,FF,PickUpHL_b37_fp50_r1,Plannerinputs/generated/problemPickUpHL_b37_fp50_r1.pddl,True,276.83,354.18,3,0,
553,2026-07-06 17:17:45.504,FF,PickUpHL_b43_fp58_r1,Plannerinputs/generated/problemPickUpHL_b43_fp58_r1.pddl,True,274.78,353.37,3,0,
554,2026-07-06 17:17:46.074,FF,StackHL_b25_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b25_lp5_r1_pr1_lay5_m5.pddl,True,279.08,378.17,2,0,
555,2026-07-06 17:17:47.006,FF,PickUpHL_b31_fp42_r1,Plannerinputs/generated/problemPickUpHL_b31_fp42_r1.pddl,True,263.31,347.57,2,0,
