LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
109,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,plannedl,rppickup,,True,3905.61
110,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup12,plannedj,rpmanipulate,,True,11685.77
111,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,plannedj,finallocstick9,,True,5985.20
112,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,open_gripper,,,True,1665.82
113,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,lift,,,True,3647.81
114,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,plannedj,rpmanipulate,,True,5896.00
115,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange,plannedj,rptoolchange,,True,5601.80
116,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange,play_program,,,True,23399.24
117,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler,play_program,,,True,10439.82
118,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate,plannedj,rpmanipulate,,True,5389.28
119,NailingLL,NailingLL_moveToNailPos_NailingML_stick8_stick4_robot1_staplergun1_rpmanipulate,movej,unknown,,True,8623.75
120,PushDownLL,PushDownLL_pushDown_NailingML_stick8_stick4_robot1_staplergun1_rpmanipulate,lift,,,True,1868.09
121,LiftLL,LiftLL_liftAfterNail_NailingML_stick8_stick4_robot1_staplergun1_rpmanipulate,lift,,,True,4141.64
122,NailingLL,NailingLL_moveToNailPos_NailingML_stick9_stick4_robot1_staplergun1_rpmanipulate,movej,unknown,,True,5282.48
