CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
51,False,,2026-05-29 17:05:24.245,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,plannedl,initlocstick6,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4500.42,37.11,16,1.421,6767.24,35.36,0.00,35.36,,
52,False,,2026-05-29 17:05:33.206,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup7,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,4042.92,12.61,15,1.347,6153.96,2193.42,0.00,2193.42,,
53,False,,2026-05-29 17:05:39.395,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,plannedl,temploc1,,1.00,1.00,"0.599380;-0.002700;-0.009000;0.000000;-3.141590;0.000000","",True,4482.48,41.71,18,1.632,6658.51,35.37,0.00,35.37,,
54,False,,2026-05-29 17:05:46.077,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,2179.91,0.00,0,0.000,4214.18,23.10,0.00,23.10,,
55,False,,2026-05-29 17:05:50.302,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,4360.30,32.00,18,1.661,6512.84,10.39,0.00,10.39,,
56,False,,2026-05-29 17:05:59.109,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup6,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11605.71,16.22,51,4.910,13690.59,2294.75,0.00,2294.75,,
57,False,,2026-05-29 17:06:12.837,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,plannedj,finallocstick6,,1.00,1.00,"0.335155;0.883030;0.008500;0.000000;-3.141590;0.000000","",True,7168.94,172.39,30,2.836,9537.27,37.44,0.00,37.44,,
58,False,,2026-05-29 17:06:22.389,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,open_gripper,,,0.50,1.00,"","",True,2045.82,0.00,0,0.000,4079.30,14.55,0.00,14.55,,
59,False,,2026-05-29 17:06:26.490,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,lift,,,0.50,1.00,"","",True,3666.80,0.00,0,0.000,5716.57,21.99,0.00,21.99,,
60,False,,2026-05-29 17:06:32.231,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7183.53,14.28,30,2.834,9283.22,23.91,0.00,23.91,,
