CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
643,False,,2026-05-29 18:30:39.265,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup54,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11238.84,109.89,51,4.916,13545.48,3805.24,0.00,3805.24,,
644,False,,2026-05-29 18:30:52.850,MoveToLL,MoveToLL_moveToStackPos_StackML_cube10_stick41_robot1_gripper1_finalloccube10_rpmanipulate,plannedj,finalloccube10,,1.00,1.00,"-0.262790;0.912546;0.147500;0.000000;-3.141590;0.000000","",True,5592.06,39.92,21,1.983,7796.99,39.53,0.00,39.53,,
645,False,,2026-05-29 18:31:00.663,OpenGripperLL,OpenGripperLL_openGripper_StackML_cube10_stick41_robot1_gripper1_finalloccube10_rpmanipulate,open_gripper,,,0.50,1.00,"","",True,2074.54,0.00,0,0.000,4133.09,16.60,0.00,16.60,,
646,False,,2026-05-29 18:31:04.816,LiftLL,LiftLL_liftAfterStack_StackML_cube10_stick41_robot1_gripper1_finalloccube10_rpmanipulate,lift,,,0.50,1.00,"","",True,3706.30,0.00,0,0.000,5746.56,19.25,0.00,19.25,,
647,False,,2026-05-29 18:31:10.580,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube10_stick41_robot1_gripper1_finalloccube10_rpmanipulate,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5477.25,13.49,21,1.980,7575.83,17.39,0.00,17.39,,
648,False,,2026-05-29 18:31:21.740,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup51,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,10998.35,14.55,50,4.859,13071.91,3584.87,0.00,3584.87,,
649,False,,2026-05-29 18:31:34.873,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick44_initlocstick44_robot1_gripper1_rppickup,plannedl,initlocstick44,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3875.87,14.80,16,1.421,5980.50,60.93,0.00,60.93,,
650,False,,2026-05-29 18:31:40.886,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick44_initlocstick44_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1704.30,0.00,0,0.000,3866.75,32.18,0.00,32.18,,
651,False,,2026-05-29 18:31:44.774,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick44_initlocstick44_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3834.95,26.12,16,1.400,5958.42,21.66,0.00,21.66,,
652,False,,2026-05-29 18:31:54.750,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup55,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11181.07,17.90,51,4.916,13460.12,4017.58,0.00,4017.58,,
653,False,,2026-05-29 18:32:08.247,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick44_robot1_finallocstick44_rpmanipulate_stick40_stick39_gripper1_layer9_layer10,plannedj,finallocstick44,,1.00,1.00,"0.015759;0.790574;0.147500;0.000000;-3.141590;0.000000","",True,6253.34,14.10,25,2.330,8356.77,36.48,0.00,36.48,,
654,False,,2026-05-29 18:32:16.631,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick44_robot1_finallocstick44_rpmanipulate_stick40_stick39_gripper1_layer9_layer10,open_gripper,,,0.50,1.00,"","",True,2202.47,0.00,0,0.000,4237.87,27.73,0.00,27.73,,
655,False,,2026-05-29 18:32:20.886,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick44_robot1_finallocstick44_rpmanipulate_stick40_stick39_gripper1_layer9_layer10,lift,,,0.50,1.00,"","",True,3690.87,0.00,0,0.000,5759.09,17.33,0.00,17.33,,
656,False,,2026-05-29 18:32:26.669,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick44_robot1_finallocstick44_rpmanipulate_stick40_stick39_gripper1_layer9_layer10,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6159.01,16.84,25,2.328,8253.20,23.13,0.00,23.13,,
657,False,,2026-05-29 18:32:38.485,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup11,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,5054.83,34.54,21,1.926,7216.28,3563.54,0.00,3563.54,,
658,False,,2026-05-29 18:32:45.744,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup6,play_program,,gripper,0.50,1.00,"","",True,21610.69,0.00,0,0.000,23633.22,42.33,0.00,42.33,,
659,False,,2026-05-29 18:33:09.409,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup6,play_program,,nailgun,0.50,1.00,"","",True,10411.84,0.00,0,0.000,12476.76,31.36,0.00,31.36,,
660,False,,2026-05-29 18:33:25.340,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate_dup6,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5203.49,105.72,21,1.941,10037.42,3454.24,0.00,3454.24,,
661,False,,2026-05-29 18:33:35.486,NailingLL,NailingLL_moveToNailPos_NailingML_stick43_stick38_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.260803;0.672197;0.167575;2.221441;-2.221441;0.000000","",True,6957.98,0.00,0,0.000,8996.48,109.48,0.00,109.48,,
662,False,,2026-05-29 18:33:44.502,PushDownLL,PushDownLL_pushDown_NailingML_stick43_stick38_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1237.40,0.00,0,0.000,3282.54,18.58,0.00,18.58,,
663,False,,2026-05-29 18:33:47.804,LiftLL,LiftLL_liftAfterNail_NailingML_stick43_stick38_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4102.11,0.00,0,0.000,6138.50,20.18,0.00,20.18,,
664,False,,2026-05-29 18:33:57.704,NailingLL,NailingLL_moveToNailPos_NailingML_stick43_stick39_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.126734;0.665171;0.167550;2.221441;-2.221441;0.000000","",True,5132.62,0.00,0,0.000,7223.17,3761.63,0.00,3761.63,,
665,False,,2026-05-29 18:34:04.947,PushDownLL,PushDownLL_pushDown_NailingML_stick43_stick39_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1642.00,0.00,0,0.000,3677.47,19.85,0.00,19.85,,
666,False,,2026-05-29 18:34:08.644,LiftLL,LiftLL_liftAfterNail_NailingML_stick43_stick39_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4088.61,0.00,0,0.000,6141.16,18.67,0.00,18.67,,
667,False,,2026-05-29 18:34:18.293,NailingLL,NailingLL_moveToNailPos_NailingML_stick44_stick39_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.014138;0.759649;0.167575;2.221441;-2.221441;0.000000","",True,4370.49,0.00,0,0.000,6397.04,3508.40,0.00,3508.40,,
668,False,,2026-05-29 18:34:24.728,PushDownLL,PushDownLL_pushDown_NailingML_stick44_stick39_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1901.58,0.00,0,0.000,3946.38,38.08,0.00,38.08,,
669,False,,2026-05-29 18:34:28.702,LiftLL,LiftLL_liftAfterNail_NailingML_stick44_stick39_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4044.62,0.00,0,0.000,6101.04,27.75,0.00,27.75,,
670,False,,2026-05-29 18:34:38.186,NailingLL,NailingLL_moveToNailPos_NailingML_stick44_stick40_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.019099;0.854300;0.167550;2.221441;-2.221441;0.000000","",True,4494.64,0.00,0,0.000,6530.05,3382.14,0.00,3382.14,,
671,False,,2026-05-29 18:34:44.738,PushDownLL,PushDownLL_pushDown_NailingML_stick44_stick40_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1933.04,0.00,0,0.000,3961.98,22.87,0.00,22.87,,
672,False,,2026-05-29 18:34:48.729,LiftLL,LiftLL_liftAfterNail_NailingML_stick44_stick40_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4111.60,0.00,0,0.000,6132.64,28.25,0.00,28.25,,
673,False,,2026-05-29 18:34:58.289,NailingLL,NailingLL_moveToNailPos_NailingML_cube9_stick37_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.266655;0.970714;0.168550;2.221441;-2.221441;0.000000","",True,5214.58,0.00,0,0.000,7283.77,3427.82,0.00,3427.82,,
674,False,,2026-05-29 18:35:05.603,PushDownLL,PushDownLL_pushDown_NailingML_cube9_stick37_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1731.40,0.00,0,0.000,3827.52,30.55,0.00,30.55,,
675,False,,2026-05-29 18:35:09.448,LiftLL,LiftLL_liftAfterNail_NailingML_cube9_stick37_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4086.73,0.00,0,0.000,6126.11,16.69,0.00,16.69,,
676,False,,2026-05-29 18:35:19.156,NailingLL,NailingLL_moveToNailPos_NailingML_cube10_stick41_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"-0.260300;0.914635;0.167575;2.221441;-2.221441;0.000000","",True,7247.67,0.00,0,0.000,9276.21,3581.93,0.00,3581.93,,
677,False,,2026-05-29 18:35:28.460,PushDownLL,PushDownLL_pushDown_NailingML_cube10_stick41_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1243.10,0.00,0,0.000,3270.98,27.69,0.00,27.69,,
678,False,,2026-05-29 18:35:31.758,LiftLL,LiftLL_liftAfterNail_NailingML_cube10_stick41_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4091.00,0.00,0,0.000,6122.61,27.20,0.00,27.20,,
679,False,,2026-05-29 18:35:41.333,NailingLL,NailingLL_moveToNailPos_NailingML_stick42_stick37_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.340073;0.909110;0.168575;2.221441;-2.221441;0.000000","",True,7938.25,0.00,0,0.000,9974.88,3453.04,0.00,3453.04,,
680,False,,2026-05-29 18:35:51.325,PushDownLL,PushDownLL_pushDown_NailingML_stick42_stick37_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1396.25,0.00,0,0.000,3437.89,17.13,0.00,17.13,,
681,False,,2026-05-29 18:35:54.784,LiftLL,LiftLL_liftAfterNail_NailingML_stick42_stick37_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4104.68,0.00,0,0.000,6129.32,20.43,0.00,20.43,,
682,False,,2026-05-29 18:36:04.272,NailingLL,NailingLL_moveToNailPos_NailingML_stick42_stick38_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.354496;0.772566;0.168050;2.221441;-2.221441;0.000000","",True,5702.72,0.00,0,0.000,7755.93,3358.77,0.00,3358.77,,
683,False,,2026-05-29 18:36:12.045,PushDownLL,PushDownLL_pushDown_NailingML_stick42_stick38_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1420.84,0.00,0,0.000,3473.23,17.65,0.00,17.65,,
684,False,,2026-05-29 18:36:15.540,LiftLL,LiftLL_liftAfterNail_NailingML_stick42_stick38_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4130.90,0.00,0,0.000,6172.36,21.10,0.00,21.10,,
685,False,,2026-05-29 18:36:25.103,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup12,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,4214.95,33.02,16,1.493,6333.42,3391.31,0.00,3391.31,,
686,False,,2026-05-29 18:36:31.472,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup6,play_program,,nailgun,0.50,1.00,"","",True,7782.41,0.00,0,0.000,9823.04,35.59,0.00,35.59,,
687,False,,2026-05-29 18:36:41.330,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup6,play_program,,gripper,0.50,1.00,"","",True,21132.56,0.00,0,0.000,23245.54,34.58,0.00,34.58,,
688,False,,2026-05-29 18:37:08.078,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rppickup_dup6,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,7965.99,286.92,35,3.357,12903.14,3502.19,0.00,3502.19,,
689,False,,2026-05-29 18:37:21.022,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick45_initlocstick45_robot1_gripper1_rppickup,plannedl,initlocstick45,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4353.85,98.96,16,1.419,6703.08,40.53,0.00,40.53,,
690,False,,2026-05-29 18:37:27.749,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick45_initlocstick45_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1820.87,0.00,0,0.000,3855.80,24.03,0.00,24.03,,
691,False,,2026-05-29 18:37:31.718,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick45_initlocstick45_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3840.01,29.54,16,1.401,5970.79,113.73,0.00,113.73,,
692,False,,2026-05-29 18:37:41.441,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup56,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11494.77,14.73,51,4.916,13575.38,3752.32,0.00,3752.32,,
693,False,,2026-05-29 18:37:55.065,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick45_robot1_finallocstick45_rpmanipulate_stick41_stick40_gripper1_layer9_layer10,plannedj,finallocstick45,,1.00,1.00,"-0.137540;0.960831;0.147500;0.000000;-3.141590;0.000000","",True,6112.84,16.75,23,2.171,8200.95,47.85,0.00,47.85,,
694,False,,2026-05-29 18:38:03.291,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick45_robot1_finallocstick45_rpmanipulate_stick41_stick40_gripper1_layer9_layer10,open_gripper,,,0.50,1.00,"","",True,1678.40,0.00,0,0.000,3733.73,25.52,0.00,25.52,,
695,False,,2026-05-29 18:38:07.047,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick45_robot1_finallocstick45_rpmanipulate_stick41_stick40_gripper1_layer9_layer10,lift,,,0.50,1.00,"","",True,3704.57,0.00,0,0.000,5742.96,22.73,0.00,22.73,,
696,False,,2026-05-29 18:38:12.815,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick45_robot1_finallocstick45_rpmanipulate_stick41_stick40_gripper1_layer9_layer10,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5414.52,125.50,23,2.169,7956.27,24.34,0.00,24.34,,
697,False,,2026-05-29 18:38:24.424,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup13,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,5092.42,102.07,21,1.927,7473.68,3653.11,0.00,3653.11,,
698,False,,2026-05-29 18:38:31.931,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup7,play_program,,gripper,0.50,1.00,"","",True,21556.04,0.00,0,0.000,23597.99,33.06,0.00,33.06,,
699,False,,2026-05-29 18:38:55.563,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup7,play_program,,nailgun,0.50,1.00,"","",True,10273.29,0.00,0,0.000,12314.39,34.22,0.00,34.22,,
700,False,,2026-05-29 18:39:11.282,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate_dup7,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5289.18,26.51,21,1.941,10207.17,3404.10,0.00,3404.10,,
701,False,,2026-05-29 18:39:21.577,NailingLL,NailingLL_moveToNailPos_NailingML_stick45_stick40_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"-0.067197;0.957144;0.167550;2.221441;-2.221441;0.000000","",True,9494.82,0.00,0,0.000,11556.68,87.78,0.00,87.78,,
702,False,,2026-05-29 18:39:33.160,PushDownLL,PushDownLL_pushDown_NailingML_stick45_stick40_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1691.13,0.00,0,0.000,3769.31,26.39,0.00,26.39,,
703,False,,2026-05-29 18:39:36.962,LiftLL,LiftLL_liftAfterNail_NailingML_stick45_stick40_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4074.69,0.00,0,0.000,6110.24,32.72,0.00,32.72,,
704,False,,2026-05-29 18:39:46.349,NailingLL,NailingLL_moveToNailPos_NailingML_stick45_stick41_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"-0.201266;0.964170;0.167550;2.221441;-2.221441;0.000000","",True,4183.54,0.00,0,0.000,6197.99,3277.29,0.00,3277.29,,
705,False,,2026-05-29 18:39:52.566,PushDownLL,PushDownLL_pushDown_NailingML_stick45_stick41_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1550.62,0.00,0,0.000,3590.35,18.47,0.00,18.47,,
706,False,,2026-05-29 18:39:56.173,LiftLL,LiftLL_liftAfterNail_NailingML_stick45_stick41_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4156.46,0.00,0,0.000,6188.56,17.48,0.00,17.48,,
707,False,,2026-05-29 18:40:08.757,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup14,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,6396.27,14.29,25,2.391,8464.15,6394.86,0.00,6394.86,,
708,False,,2026-05-29 18:40:17.279,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup7,play_program,,nailgun,0.50,1.00,"","",True,7815.63,0.00,0,0.000,9832.87,58.44,0.00,58.44,,
709,False,,2026-05-29 18:40:27.151,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup7,play_program,,gripper,0.50,1.00,"","",True,21502.93,0.00,0,0.000,23550.08,38.30,0.00,38.30,,
710,False,,2026-05-29 18:40:54.287,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rppickup_dup7,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,8064.53,18.87,35,3.357,12766.89,3586.68,0.00,3586.68,,
711,False,,2026-05-29 18:41:07.107,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick47_initlocstick47_robot1_gripper1_rppickup,plannedl,initlocstick47,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3880.48,19.13,16,1.419,5980.09,52.61,0.00,52.61,,
712,False,,2026-05-29 18:41:13.118,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick47_initlocstick47_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1757.05,0.00,0,0.000,3815.96,30.78,0.00,30.78,,
713,False,,2026-05-29 18:41:16.953,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick47_initlocstick47_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3902.41,14.88,16,1.401,6048.86,19.07,0.00,19.07,,
714,False,,2026-05-29 18:41:26.639,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup57,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11497.51,29.27,51,4.916,13623.56,3637.57,0.00,3637.57,,
715,False,,2026-05-29 18:41:40.309,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick47_robot1_finallocstick47_rpmanipulate_stick42_stick43_gripper1_layer10_layer11,plannedj,finallocstick47,,1.00,1.00,"0.298514;0.717754;0.165000;0.000000;-3.141590;0.000000","",True,7407.50,12.99,30,2.820,9504.43,46.45,0.00,46.45,,
716,False,,2026-05-29 18:41:49.832,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick47_robot1_finallocstick47_rpmanipulate_stick42_stick43_gripper1_layer10_layer11,open_gripper,,,0.50,1.00,"","",True,2009.01,0.00,0,0.000,4054.99,18.43,0.00,18.43,,
717,False,,2026-05-29 18:41:53.918,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick47_robot1_finallocstick47_rpmanipulate_stick42_stick43_gripper1_layer10_layer11,lift,,,0.50,1.00,"","",True,3720.69,0.00,0,0.000,5774.05,30.59,0.00,30.59,,
718,False,,2026-05-29 18:41:59.712,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick47_robot1_finallocstick47_rpmanipulate_stick42_stick43_gripper1_layer10_layer11,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7127.90,15.01,30,2.817,9217.43,20.15,0.00,20.15,,
719,False,,2026-05-29 18:42:12.319,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup52,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,10916.28,92.15,50,4.859,13221.74,3389.36,0.00,3389.36,,
720,False,,2026-05-29 18:42:25.592,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick46_initlocstick46_robot1_gripper1_rppickup,plannedl,initlocstick46,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4446.24,33.76,16,1.421,6712.43,52.13,0.00,52.13,,
721,False,,2026-05-29 18:42:32.334,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick46_initlocstick46_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1805.01,0.00,0,0.000,3834.66,29.26,0.00,29.26,,
722,False,,2026-05-29 18:42:36.195,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick46_initlocstick46_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3894.96,19.02,16,1.400,6003.47,26.67,0.00,26.67,,
723,False,,2026-05-29 18:42:45.865,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup58,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11582.22,13.44,51,4.916,13679.56,3666.27,0.00,3666.27,,
724,False,,2026-05-29 18:42:59.579,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick46_robot1_finallocstick46_rpmanipulate_cube9_stick42_gripper1_layer10_layer11,plannedj,finallocstick46,,1.00,1.00,"0.315197;0.926850;0.166000;0.000000;-3.141590;0.000000","",True,7336.97,14.33,29,2.795,9411.32,34.67,0.00,34.67,,
725,False,,2026-05-29 18:43:09.013,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick46_robot1_finallocstick46_rpmanipulate_cube9_stick42_gripper1_layer10_layer11,open_gripper,,,0.50,1.00,"","",True,2089.14,0.00,0,0.000,4115.76,22.48,0.00,22.48,,
726,False,,2026-05-29 18:43:13.147,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick46_robot1_finallocstick46_rpmanipulate_cube9_stick42_gripper1_layer10_layer11,lift,,,0.50,1.00,"","",True,3758.14,0.00,0,0.000,5780.06,18.18,0.00,18.18,,
727,False,,2026-05-29 18:43:18.949,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick46_robot1_finallocstick46_rpmanipulate_cube9_stick42_gripper1_layer10_layer11,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7098.45,15.72,29,2.792,9186.21,21.82,0.00,21.82,,
728,False,,2026-05-29 18:43:31.768,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup53,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,10917.13,22.47,50,4.860,13026.40,3632.44,0.00,3632.44,,
729,False,,2026-05-29 18:43:44.843,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick48_initlocstick48_robot1_gripper1_rppickup,plannedl,initlocstick48,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4540.72,68.46,16,1.421,6741.76,49.34,0.00,49.34,,
