LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
469,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup11,movej,rptoolchange,,True,11260.01
470,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup6,play_program,,,True,21086.72
471,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup6,play_program,,,True,10295.96
472,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate_dup6,movej,rpmanipulate,,True,10747.76
473,NailingLL,NailingLL_nailStep_NailingML_stick43_stick38_robot1_staplergun1_rpmanipulate,planned,unknown,,True,22334.77
474,NailingLL,NailingLL_nailStep_NailingML_stick43_stick39_robot1_staplergun1_rpmanipulate,planned,unknown,,True,9470.46
475,NailingLL,NailingLL_nailStep_NailingML_stick44_stick39_robot1_staplergun1_rpmanipulate,planned,unknown,,True,10961.69
476,NailingLL,NailingLL_nailStep_NailingML_stick44_stick40_robot1_staplergun1_rpmanipulate,planned,unknown,,True,6516.93
477,NailingLL,NailingLL_nailStep_NailingML_cube9_stick37_robot1_staplergun1_rpmanipulate,planned,unknown,,True,10325.22
478,NailingLL,NailingLL_nailStep_NailingML_cube10_stick41_robot1_staplergun1_rpmanipulate,planned,unknown,,True,12845.44
479,NailingLL,NailingLL_nailStep_NailingML_stick42_stick37_robot1_staplergun1_rpmanipulate,planned,unknown,,True,12195.38
480,NailingLL,NailingLL_nailStep_NailingML_stick42_stick38_robot1_staplergun1_rpmanipulate,planned,unknown,,True,7348.92
481,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup12,movej,rptoolchange,,True,9331.39
482,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup6,play_program,,,True,7283.12
483,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup6,play_program,,,True,21113.88
484,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rppickup_dup6,movej,rppickup,,True,17770.65
485,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick45_initlocstick45_robot1_gripper1_rppickup,movel,initlocstick45,,True,6328.80
486,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick45_initlocstick45_robot1_gripper1_rppickup,close_gripper,,,True,18.97
487,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick45_initlocstick45_robot1_gripper1_rppickup,movel,rppickup,,True,5946.62
488,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup56,movej,rpmanipulate,,True,15403.63
489,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick45_robot1_finallocstick45_rpmanipulate_stick41_stick40_gripper1_layer9_layer10,planned,finallocstick45,,True,19132.97
490,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick45_robot1_finallocstick45_rpmanipulate_stick41_stick40_gripper1_layer9_layer10,movej,rpmanipulate,,True,11467.37
491,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup13,movej,rptoolchange,,True,10748.20
492,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup7,play_program,,,True,21189.73
493,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup7,play_program,,,True,10420.06
494,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate_dup7,movej,rpmanipulate,,True,11348.85
495,NailingLL,NailingLL_nailStep_NailingML_stick45_stick40_robot1_staplergun1_rpmanipulate,planned,unknown,,True,26339.00
496,NailingLL,NailingLL_nailStep_NailingML_stick45_stick41_robot1_staplergun1_rpmanipulate,planned,unknown,,True,9790.69
497,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup14,movej,rptoolchange,,True,14386.81
498,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup7,play_program,,,True,7211.82
499,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup7,play_program,,,True,20752.28
500,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rppickup_dup7,movej,rppickup,,True,17889.44
501,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick47_initlocstick47_robot1_gripper1_rppickup,movel,initlocstick47,,True,6293.36
502,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick47_initlocstick47_robot1_gripper1_rppickup,close_gripper,,,True,10.66
503,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick47_initlocstick47_robot1_gripper1_rppickup,movel,rppickup,,True,5239.41
504,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup57,movej,rpmanipulate,,True,15389.12
505,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick47_robot1_finallocstick47_rpmanipulate_stick42_stick43_gripper1_layer10_layer11,planned,finallocstick47,,True,17507.02
506,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick47_robot1_finallocstick47_rpmanipulate_stick42_stick43_gripper1_layer10_layer11,movej,rpmanipulate,,True,10778.72
507,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup52,movej,rppickup,,True,15022.21
508,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick46_initlocstick46_robot1_gripper1_rppickup,movel,initlocstick46,,True,6275.77
509,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick46_initlocstick46_robot1_gripper1_rppickup,close_gripper,,,True,25.76
510,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick46_initlocstick46_robot1_gripper1_rppickup,movel,rppickup,,True,5828.49
511,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup58,movej,rpmanipulate,,True,15390.64
512,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick46_robot1_finallocstick46_rpmanipulate_cube9_stick42_gripper1_layer10_layer11,planned,finallocstick46,,True,20702.84
513,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick46_robot1_finallocstick46_rpmanipulate_cube9_stick42_gripper1_layer10_layer11,movej,rpmanipulate,,True,21303.47
514,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup53,movej,rppickup,,True,14961.47
515,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick48_initlocstick48_robot1_gripper1_rppickup,movel,initlocstick48,,True,6329.28
516,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick48_initlocstick48_robot1_gripper1_rppickup,close_gripper,,,True,13.35
517,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick48_initlocstick48_robot1_gripper1_rppickup,movel,rppickup,,True,5960.10
518,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup59,movej,rpmanipulate,,True,15398.48
519,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick48_robot1_finallocstick48_rpmanipulate_stick43_stick44_gripper1_layer10_layer11,planned,finallocstick48,,True,14307.25
520,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick48_robot1_finallocstick48_rpmanipulate_stick43_stick44_gripper1_layer10_layer11,movej,rpmanipulate,,True,9361.14
521,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup54,movej,rppickup,,True,14958.69
522,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick51_initlocstick51_robot1_gripper1_rppickup,movel,initlocstick51,,True,6304.57
523,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick51_initlocstick51_robot1_gripper1_rppickup,close_gripper,,,True,13.38
524,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick51_initlocstick51_robot1_gripper1_rppickup,movel,rppickup,,True,5943.53
525,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup60,movej,rpmanipulate,,True,15421.36
526,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick51_robot1_finallocstick51_rpmanipulate_stick47_stick46_gripper1_layer11_layer12,planned,finallocstick51,,True,17525.65
527,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick51_robot1_finallocstick51_rpmanipulate_stick47_stick46_gripper1_layer11_layer12,movej,rpmanipulate,,True,15670.54
528,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup55,movej,rppickup,,True,15004.66
529,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube11_initloccube11_robot1_gripper1_rppickup,movel,initloccube11,,True,6262.26
530,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube11_initloccube11_robot1_gripper1_rppickup,close_gripper,,,True,12.83
531,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube11_initloccube11_robot1_gripper1_rppickup,movel,rppickup,,True,5940.71
532,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup61,movej,rpmanipulate,,True,14984.86
533,MoveToLL,MoveToLL_moveToObjPosition_StackML_cube11_stick46_robot1_gripper1_finalloccube11_rpmanipulate,planned,finalloccube11,,True,16696.70
534,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube11_stick46_robot1_gripper1_finalloccube11_rpmanipulate,movej,rpmanipulate,,True,11486.28
535,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup56,movej,rppickup,,True,15013.22
536,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick52_initlocstick52_robot1_gripper1_rppickup,movel,initlocstick52,,True,6303.72
537,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick52_initlocstick52_robot1_gripper1_rppickup,close_gripper,,,True,0.87
538,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick52_initlocstick52_robot1_gripper1_rppickup,movel,rppickup,,True,5258.17
539,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup62,movej,rpmanipulate,,True,15520.58
540,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick52_robot1_finallocstick52_rpmanipulate_stick47_stick48_gripper1_layer11_layer12,planned,finallocstick52,,True,14308.02
541,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick52_robot1_finallocstick52_rpmanipulate_stick47_stick48_gripper1_layer11_layer12,movej,rpmanipulate,,True,8514.90
542,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup57,movej,rppickup,,True,14969.04
543,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick50_initlocstick50_robot1_gripper1_rppickup,movel,initlocstick50,,True,6304.53
544,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick50_initlocstick50_robot1_gripper1_rppickup,close_gripper,,,True,14.00
545,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick50_initlocstick50_robot1_gripper1_rppickup,movel,rppickup,,True,5944.90
546,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup63,movej,rpmanipulate,,True,15516.18
547,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick50_robot1_finallocstick50_rpmanipulate_cube10_stick45_gripper1_layer10_layer11,planned,finallocstick50,,True,19117.48
548,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick50_robot1_finallocstick50_rpmanipulate_cube10_stick45_gripper1_layer10_layer11,movej,rpmanipulate,,True,11475.87
549,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup58,movej,rppickup,,True,15506.44
550,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick49_initlocstick49_robot1_gripper1_rppickup,movel,initlocstick49,,True,6287.82
551,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick49_initlocstick49_robot1_gripper1_rppickup,close_gripper,,,True,18.60
552,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick49_initlocstick49_robot1_gripper1_rppickup,movel,rppickup,,True,5236.61
553,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup64,movej,rpmanipulate,,True,15345.66
